MMSI,Name,Ship type,Flag,Destination,# Timestamp,Latitude,Longitude,SOG,COG
419005678,MV NIGHT PASSAGE,Tanker,PA,MUMBAI,23/08/2026 04:42:33,6.951,79.842,11.5,300.3
419005678,MV NIGHT PASSAGE,Tanker,PA,MUMBAI,23/08/2026 05:02:33,6.981262,79.785364,11.9,297.5
419005678,MV NIGHT PASSAGE,Tanker,PA,MUMBAI,23/08/2026 05:22:33,7.011524,79.728724,11.4,297.5
419005678,MV NIGHT PASSAGE,Tanker,PA,MUMBAI,23/08/2026 05:42:33,7.041786,79.67208,11.7,298.2
419005678,MV NIGHT PASSAGE,Tanker,PA,MUMBAI,23/08/2026 06:02:33,7.072048,79.615433,11.7,295.5
419005678,MV NIGHT PASSAGE,Tanker,PA,MUMBAI,23/08/2026 06:22:33,7.10231,79.558781,12.0,298.2
419005678,MV NIGHT PASSAGE,Tanker,PA,MUMBAI,23/08/2026 06:42:33,7.132572,79.502127,11.7,298.1
419005678,MV NIGHT PASSAGE,Tanker,PA,MUMBAI,23/08/2026 07:02:33,7.162834,79.445468,11.4,299.0
419005678,MV NIGHT PASSAGE,Tanker,PA,MUMBAI,23/08/2026 07:22:33,7.193096,79.388806,11.7,298.0
419005678,MV NIGHT PASSAGE,Tanker,PA,MUMBAI,23/08/2026 07:42:33,7.223357,79.332139,11.5,299.3
419005678,MV NIGHT PASSAGE,Tanker,PA,MUMBAI,23/08/2026 08:02:33,7.253619,79.275469,11.2,296.0
419005678,MV NIGHT PASSAGE,Tanker,PA,MUMBAI,23/08/2026 08:22:33,7.283881,79.218796,11.6,297.3
419005678,MV NIGHT PASSAGE,Tanker,PA,MUMBAI,23/08/2026 08:42:33,7.314143,79.162118,10.9,297.1
419005678,MV NIGHT PASSAGE,Tanker,PA,MUMBAI,23/08/2026 09:02:33,7.344405,79.105437,11.4,296.5
419005678,MV NIGHT PASSAGE,Tanker,PA,MUMBAI,23/08/2026 09:22:33,7.374667,79.048751,11.1,298.4
419005678,MV NIGHT PASSAGE,Tanker,PA,MUMBAI,23/08/2026 09:42:33,7.404928,78.992062,11.8,297.9
419005678,MV NIGHT PASSAGE,Tanker,PA,MUMBAI,23/08/2026 10:02:33,7.43519,78.935369,11.3,298.9
419005678,MV NIGHT PASSAGE,Tanker,PA,MUMBAI,23/08/2026 10:22:33,7.465452,78.878672,11.7,297.8
419005678,MV NIGHT PASSAGE,Tanker,PA,MUMBAI,23/08/2026 10:42:33,7.495714,78.821971,11.7,299.9
419005678,MV NIGHT PASSAGE,Tanker,PA,MUMBAI,23/08/2026 11:02:33,7.525975,78.765266,11.4,297.1
419005678,MV NIGHT PASSAGE,Tanker,PA,MUMBAI,23/08/2026 11:22:33,7.556237,78.708557,11.6,298.7
419005678,MV NIGHT PASSAGE,Tanker,PA,MUMBAI,23/08/2026 11:42:33,7.586499,78.651844,11.8,296.4
419005678,MV NIGHT PASSAGE,Tanker,PA,MUMBAI,23/08/2026 12:02:33,7.616761,78.595127,11.3,297.0
419005678,MV NIGHT PASSAGE,Tanker,PA,MUMBAI,23/08/2026 12:22:33,7.647022,78.538407,11.0,298.5
