MMSI,Name,Ship type,Flag,Destination,# Timestamp,Latitude,Longitude,SOG,COG
419005678,MV NIGHT PASSAGE,Tanker,PA,MUMBAI,23/08/2026 00:02:34,6.951,79.842,11.5,295.9
419005678,MV NIGHT PASSAGE,Tanker,PA,MUMBAI,23/08/2026 00:22:34,6.976774,79.783154,11.9,293.0
419005678,MV NIGHT PASSAGE,Tanker,PA,MUMBAI,23/08/2026 00:42:34,7.002548,79.724304,11.4,293.0
419005678,MV NIGHT PASSAGE,Tanker,PA,MUMBAI,23/08/2026 01:02:34,7.028322,79.665452,11.7,293.7
419005678,MV NIGHT PASSAGE,Tanker,PA,MUMBAI,23/08/2026 01:22:34,7.054096,79.606596,11.7,291.0
419005678,MV NIGHT PASSAGE,Tanker,PA,MUMBAI,23/08/2026 01:42:34,7.079871,79.547736,12.0,293.7
419005678,MV NIGHT PASSAGE,Tanker,PA,MUMBAI,23/08/2026 02:02:34,7.105645,79.488874,11.7,293.6
419005678,MV NIGHT PASSAGE,Tanker,PA,MUMBAI,23/08/2026 02:22:34,7.131419,79.430008,11.4,294.5
419005678,MV NIGHT PASSAGE,Tanker,PA,MUMBAI,23/08/2026 02:42:34,7.157193,79.371139,11.7,293.5
419005678,MV NIGHT PASSAGE,Tanker,PA,MUMBAI,23/08/2026 03:02:34,7.182967,79.312266,11.5,294.8
419005678,MV NIGHT PASSAGE,Tanker,PA,MUMBAI,23/08/2026 03:22:34,7.208741,79.25339,11.2,291.5
419005678,MV NIGHT PASSAGE,Tanker,PA,MUMBAI,23/08/2026 03:42:34,7.234515,79.194511,11.6,292.8
419005678,MV NIGHT PASSAGE,Tanker,PA,MUMBAI,23/08/2026 04:02:34,7.260289,79.135628,10.9,292.6
419005678,MV NIGHT PASSAGE,Tanker,PA,MUMBAI,23/08/2026 04:22:34,7.286063,79.076742,11.4,292.0
419005678,MV NIGHT PASSAGE,Tanker,PA,MUMBAI,23/08/2026 04:42:34,7.311837,79.017853,11.1,293.9
419005678,MV NIGHT PASSAGE,Tanker,PA,MUMBAI,23/08/2026 05:02:34,7.337611,78.95896,11.8,293.5
419005678,MV NIGHT PASSAGE,Tanker,PA,MUMBAI,23/08/2026 05:22:34,7.363384,78.900064,11.3,294.4
419005678,MV NIGHT PASSAGE,Tanker,PA,MUMBAI,23/08/2026 05:42:34,7.389158,78.841164,11.7,293.4
419005678,MV NIGHT PASSAGE,Tanker,PA,MUMBAI,23/08/2026 06:02:34,7.414932,78.782261,11.7,295.4
419005678,MV NIGHT PASSAGE,Tanker,PA,MUMBAI,23/08/2026 06:22:34,7.440706,78.723355,11.4,292.6
419005678,MV NIGHT PASSAGE,Tanker,PA,MUMBAI,23/08/2026 06:42:34,7.46648,78.664445,11.6,294.2
419005678,MV NIGHT PASSAGE,Tanker,PA,MUMBAI,23/08/2026 07:02:34,7.492254,78.605531,11.8,291.9
419005678,MV NIGHT PASSAGE,Tanker,PA,MUMBAI,23/08/2026 07:22:34,7.518028,78.546614,11.3,292.6
419005678,MV NIGHT PASSAGE,Tanker,PA,MUMBAI,23/08/2026 07:42:34,7.543802,78.487694,11.0,294.0
419005678,MV NIGHT PASSAGE,Tanker,PA,MUMBAI,23/08/2026 08:02:34,7.569575,78.42877,11.7,292.7
419005678,MV NIGHT PASSAGE,Tanker,PA,MUMBAI,23/08/2026 08:22:34,7.595349,78.369842,11.9,295.0
419005678,MV NIGHT PASSAGE,Tanker,PA,MUMBAI,23/08/2026 08:42:34,7.621123,78.310911,11.7,294.4
419005678,MV NIGHT PASSAGE,Tanker,PA,MUMBAI,23/08/2026 09:02:34,7.646897,78.251977,11.8,291.8
